"","race","ST","POVPIP2","NATIVITY2","ESR2","SCHL2","house_ten","AGEP","VALP","RNTP","FINCP"
"21",1,"08",0.0138764883866033,0.0363227028395845,0.0311187341567267,0.773290753924433,0.746369263462377,48,6e+05,NA,165000
"22",2,"08",0.0135598339987392,0.197172462702248,0.0538847446942635,0.674242225257407,0.463569027106535,41,NA,NA,143000
"23",3,"08",0.02541262052637,0.293843004037562,0.0457651351382264,0.472000137254229,0.600085783893216,39,6e+05,NA,97200
"24",4,"08",0.0247889168138816,0.331675869289392,0.0402688013504995,0.723334262162477,0.680779458988586,41,650000,NA,145500
"25",1,"09",0.0133635962960054,0.0782145942973843,0.0381625341467459,0.704631738800304,0.806205761963362,53,4e+05,NA,176600
"26",2,"09",0.0190397632894294,0.298866014098203,0.0619359867417865,0.536223603706549,0.499559194669472,44,NA,NA,116000
"27",3,"09",0.0285390223891524,0.358772629127513,0.0593580986070986,0.457144982138416,0.481630575498602,40,NA,NA,94800
"28",4,"09",0.0176753822091566,0.542126941753535,0.055830788001867,0.713357462802676,0.664077661952685,41,5e+05,NA,154500
"29",1,"10",0.0175006045998779,0.0294511872702008,0.0337961084262778,0.64827658292446,0.84075863962978,55,350000,NA,137000
"30",2,"10",0.0173157852413756,0.154341008389846,0.052979333637119,0.597019326131825,0.625237891012411,47,4e+05,NA,106000
"31",3,"10",0.00787364524679643,0.421334128017316,0.0468340731213827,0.381150305064542,0.602255438618505,38,350000,NA,83300
"32",4,"10",0.0377753413734676,0.445857242528228,0.0199769332630889,0.714129088294343,0.67665276017713,41,4e+05,NA,130000
"33",1,"11",0.0165229205755152,0.0910004827479807,0.0247744272966611,0.974255099958693,0.535029089298423,36,NA,NA,NA
"34",2,"11",0.0461412762336651,0.0851225325488414,0.0981372345208685,0.610322805219418,0.416794380278762,45,NA,2400,206800
"35",3,"11",0.0227224133574358,0.560052092444652,0.0436954535735806,0.675335782455731,0.425155985771765,39,NA,4100,269000
"36",4,"11",0.0624857751753533,0.389025677101653,0.0463470650307256,0.85907595539095,0.432248453373611,36,NA,4200,NA
"37",1,"12",0.0205485574622551,0.0680186998055589,0.0251361730511335,0.671175413415579,0.786554329191332,56,365000,NA,125500
"38",2,"12",0.0293046131327321,0.266098672997827,0.0503766513292947,0.52730269090312,0.554689877814841,44,6e+05,NA,87600
"39",3,"12",0.0240563586684961,0.559533763238819,0.0387048696726195,0.537765377161808,0.587479131205207,44,5e+05,NA,84600
"40",4,"12",0.0290988420287173,0.501710071218611,0.0396285649875308,0.673155785338913,0.699122201452442,44,435000,NA,109300
"41",1,"13",0.0177059027711949,0.0303778868027161,0.0246808773581792,0.647920135136622,0.79599954779695,50,325000,NA,123100
"42",2,"13",0.0290762201123261,0.077523882916124,0.0547948016702336,0.577547336547039,0.571476615473533,43,450000,NA,96000
"43",3,"13",0.0259464574859241,0.536403324086896,0.0329008200243967,0.422060059877553,0.589057369873401,38,450000,NA,82000
"44",4,"13",0.0231276801954302,0.479290857352752,0.0366992236192061,0.678389824882835,0.705301310391524,42,4e+05,NA,120000
"45",1,"15",0.0215319190536709,0.0750847264313879,0.0437603871346173,0.796143318017401,0.622340078860755,51,1300000,NA,178400
"46",2,"15",0.0509748393421196,0.118668990306067,0.0650255963402679,0.83340594706459,0.408234397124496,36,NA,4000,123000
"47",3,"15",0.0240220863568089,0.112716579576467,0.07199221477078,0.602519621739406,0.497672893439675,37,NA,NA,122000
"48",4,"15",0.0198390171401629,0.287803265451008,0.0456691654552081,0.62380248505943,0.708770327778011,50,9e+05,NA,140000
"49",1,"16",0.0127886401257525,0.0193748380893001,0.0189902041282289,0.665602044355848,0.768338829149634,49,460000,NA,107000
"50",2,"16",0.00655670525560906,0.152750742751767,0.0574736195061981,0.53140047126319,0.548406925519926,34,7e+05,NA,159000
"51",3,"16",0.0255290939110422,0.400529093911042,0.0227647971181268,0.395644669034873,0.601816180517336,37,480000,NA,85000
"52",4,"16",0.0247499173280423,0.18822337962963,0.0356419477513227,0.653904183201058,0.696965939153439,43,5e+05,NA,1e+05
"53",1,"17",0.0160080554291854,0.0745196410168544,0.035748921117733,0.698249902303444,0.795690379147039,51,3e+05,NA,145000
"54",2,"17",0.0435344630105964,0.0533495978060961,0.104795401441222,0.595867122202805,0.484702559772756,45,NA,NA,109860
"55",3,"17",0.0206172954172045,0.461797439732507,0.0510368859153261,0.429652855399653,0.637295225040274,40,340000,NA,90000
"56",4,"17",0.0243561677363211,0.53938005366402,0.0417924417128975,0.749126373327532,0.684411146161935,42,420000,NA,140000
"57",1,"18",0.0175898959888553,0.0152528363326348,0.0268109901754069,0.582571569954046,0.793610355002759,49,240000,NA,111700
"58",2,"18",0.0331198238910762,0.0899697434007642,0.0645619581450377,0.527817645803836,0.459701507011385,43,NA,NA,98000
"59",3,"18",0.0237718349049312,0.422658834441181,0.0404111918379966,0.420893492038955,0.6448013603339,38,280000,NA,84000
"60",4,"18",0.0332587566961999,0.341487192536608,0.0316262223353173,0.633423332022459,0.717065932576992,39,3e+05,NA,116000
"61",1,"19",0.0139268435362818,0.0123675338314516,0.0182657065708345,0.642693840578817,0.79054488609006,50,240000,NA,124600
"62",2,"19",0.0486495507774471,0.356805095824873,0.0883424661344608,0.516188701287864,0.397276849044533,37,NA,1500,96600
"63",3,"19",0.0257146227342429,0.415326544253529,0.0435733102661896,0.431903432548264,0.626257224865332,36,250000,NA,87700
"64",4,"19",0.041834986569658,0.342998949542804,0.0330365263002052,0.634469096113308,0.640666088562707,38,3e+05,NA,129000
"65",1,"20",0.0148075539317581,0.0158853707283629,0.0189018028880398,0.686848755873283,0.748598322897666,50,275000,NA,120600
"66",2,"20",0.0524420730569755,0.0960318644826686,0.0843158837356815,0.60506137830678,0.429452259244058,44,NA,1500,120000
"67",3,"20",0.0223343001120779,0.43520015742238,0.0389192611414834,0.416189693967472,0.606521050965495,38,260000,NA,77500
"68",4,"20",0.0373894508755608,0.336316638600045,0.0381961209180729,0.699212171885488,0.625958288681889,38,4e+05,NA,110500
"69",1,"21",0.0215088785105517,0.0125919267968447,0.0306264231966552,0.558863553445097,0.765026300744081,49,245000,NA,101800
"70",2,"21",0.028310406956427,0.073072437064032,0.0577871772645376,0.511611442160631,0.48086846416723,43,NA,NA,90000
"71",3,"21",0.0381767145991205,0.522115670176178,0.0314993820832894,0.439353151375224,0.419570236532769,36,NA,1400,79000
"72",4,"21",0.0265449072178108,0.246435238616963,0.04851053871642,0.601103068274288,0.605336637928742,40,385000,NA,95600
"73",1,"22",0.0206121329457972,0.0145097061033038,0.0298617478293659,0.586898928494524,0.806571679399949,50,250000,NA,111000
"74",2,"22",0.0367372892740609,0.0142827431862668,0.0818354514144921,0.450227331755097,0.548707905811314,43,5e+05,NA,72300
"75",3,"22",0.0280735958603861,0.469434175112043,0.0468158938610851,0.472787801872391,0.57152053559933,40,5e+05,NA,95000
"76",4,"22",0.0385760151454529,0.271208025528676,0.0512964390619968,0.555404838347662,0.663730934002127,40,3e+05,NA,95100
